prompt_id,session_id,category,tokens
P01980,S04446,Writing,373
P01981,S04406,Image Generation,603
P01982,S00946,Image Generation,381
P01983,S05729,Learning,410
P01984,S01848,Writing,606
P01985,S01028,Coding,463
P01986,S03337,Research,164
P01987,S02063,Coding,560
P01988,S05336,Image Generation,162
P01989,S04349,Image Generation,501
P01990,S07199,Writing,775
P01991,S06972,Writing,714
P01992,S03185,Business,212
P01993,S00469,Learning,525
P01994,S00628,Writing,520
P01995,S05808,Business,135
P01996,S00217,Writing,145
P01997,S05648,Research,216
P01998,S01931,Coding,336
P01999,S04952,Image Generation,356
P02000,S07246,Writing,671
P02001,S03466,Writing,419
P02002,S01057,Coding,794
P02003,S02837,Writing,217
P02004,S04417,Image Generation,130
P02005,S05219,Image Generation,345
P02006,S05483,Learning,470
P02007,S06659,Learning,585
P02008,S01830,Coding,177
P02009,S03652,Business,656
P02010,S03383,Image Generation,308
P02011,S07455,Business,671
P02012,S04840,Image Generation,324
P02013,S03679,Research,287
P02014,S05367,Business,447
P02015,S02714,Learning,629
P02016,S03092,Writing,254
P02017,S00068,Business,735
P02018,S01339,Coding,293
P02019,S06504,Writing,628
P02020,S05765,Learning,241
P02021,S00414,Research,743
P02022,S01880,Learning,677
P02023,S05696,Image Generation,144
P02024,S05337,Coding,366
P02025,S01362,Image Generation,303
P02026,S06437,Coding,112
P02027,S02242,Coding,353
P02028,S06234,Coding,70
P02029,S05898,Coding,590
P02030,S06388,Business,273
P02031,S05975,Research,452
P02032,S01278,Business,754
P02033,S00180,Research,517
P02034,S06262,Image Generation,458
P02035,S05335,Image Generation,386
P02036,S01288,Coding,497
P02037,S03954,Research,151
P02038,S03198,Writing,493
P02039,S01934,Image Generation,701
P02040,S03388,Research,791
P02041,S02699,Coding,365
P02042,S05082,Image Generation,208
P02043,S03527,Learning,506
P02044,S00175,Writing,666
P02045,S06897,Coding,534
P02046,S01864,Learning,707
P02047,S06874,Business,771
P02048,S02030,Learning,463
P02049,S07315,Coding,158
P02050,S03746,Writing,113
P02051,S04587,Research,633
P02052,S05800,Image Generation,782
P02053,S06397,Coding,297
P02054,S03843,Learning,692
P02055,S02954,Learning,423
P02056,S05118,Learning,259
P02057,S06541,Writing,666
P02058,S01742,Writing,568
P02059,S01661,Research,263
P02060,S01830,Learning,552
P02061,S02531,Coding,194
P02062,S06283,Research,147
P02063,S05056,Business,430
P02064,S02797,Learning,296
P02065,S06813,Coding,332
P02066,S03306,Learning,235
P02067,S00066,Image Generation,537
P02068,S07225,Writing,142
P02069,S00134,Research,712
P02070,S00667,Image Generation,253
P02071,S01040,Business,509
P02072,S05475,Image Generation,251
P02073,S02651,Research,456
P02074,S00434,Learning,469
P02075,S04749,Writing,193
P02076,S01593,Business,657
P02077,S03214,Research,365
P02078,S05396,Research,711
P02079,S01048,Image Generation,260
P02080,S01832,Business,636
P02081,S01893,Coding,735
P02082,S06981,Coding,151
P02083,S05860,Image Generation,229
P02084,S01960,Business,528
P02085,S02214,Business,500
P02086,S06452,Image Generation,200
P02087,S07482,Writing,142
P02088,S01602,Business,519
P02089,S00499,Coding,510
P02090,S06735,Learning,75
P02091,S05290,Image Generation,84
P02092,S07058,Image Generation,392
P02093,S03248,Coding,91
P02094,S07086,Business,243
P02095,S04854,Learning,127
P02096,S04253,Writing,522
P02097,S01906,Research,570
P02098,S06345,Research,485
P02099,S04160,Coding,538
P02100,S00999,Coding,398
P02101,S03811,Image Generation,625
P02102,S03922,Research,693
P02103,S00495,Image Generation,193
P02104,S02765,Writing,184
P02105,S06526,Image Generation,354
P02106,S05028,Writing,497
P02107,S04658,Business,133
P02108,S01565,Research,76
P02109,S00822,Writing,578
P02110,S00527,Business,780
P02111,S01891,Research,464
P02112,S02666,Research,656
P02113,S07150,Business,428
P02114,S03628,Image Generation,203
P02115,S05430,Image Generation,70
P02116,S04403,Coding,491
P02117,S04545,Research,650
P02118,S05861,Research,615
P02119,S02148,Learning,133
P02120,S04335,Coding,723
P02121,S00592,Research,58
P02122,S04941,Writing,504
P02123,S02036,Learning,585
P02124,S01819,Research,111
P02125,S00230,Business,474
P02126,S07443,Image Generation,464
P02127,S03725,Writing,411
P02128,S00924,Research,607
P02129,S00614,Coding,193
P02130,S02149,Research,63
P02131,S06578,Coding,318
P02132,S00476,Business,57
P02133,S03307,Learning,228
P02134,S05814,Image Generation,321
P02135,S01468,Research,552
P02136,S01084,Coding,548
P02137,S01360,Research,53
P02138,S05057,Coding,720
P02139,S04420,Research,600
P02140,S02960,Coding,328
P02141,S06245,Coding,601
P02142,S05553,Coding,228
P02143,S02633,Learning,180
P02144,S01737,Learning,448
P02145,S04968,Research,229
P02146,S03795,Image Generation,62
P02147,S06840,Coding,79
P02148,S01755,Learning,304
P02149,S06776,Image Generation,426
P02150,S05014,Research,283
P02151,S03163,Image Generation,231
P02152,S06734,Business,460
P02153,S02250,Research,791
P02154,S01156,Business,58
P02155,S05741,Writing,761
P02156,S01609,Learning,208
P02157,S06186,Writing,348
P02158,S03876,Coding,645
P02159,S01700,Coding,417
P02160,S07126,Writing,760
P02161,S02837,Writing,370
P02162,S03685,Image Generation,462
P02163,S07247,Learning,483
P02164,S05089,Image Generation,109
P02165,S01924,Image Generation,385
P02166,S04262,Image Generation,350
P02167,S03149,Coding,246
P02168,S03860,Image Generation,200
P02169,S04591,Coding,374
P02170,S00842,Image Generation,294
P02171,S04109,Business,315
P02172,S04596,Research,404
P02173,S02867,Coding,564
P02174,S04383,Business,97
P02175,S04624,Business,336
P02176,S06085,Learning,67
P02177,S02624,Writing,146
P02178,S03422,Writing,179
P02179,S01454,Coding,696
P02180,S02731,Learning,176
P02181,S01158,Business,797
P02182,S04425,Research,82
P02183,S02358,Research,252
P02184,S01347,Business,292
P02185,S07080,Coding,549
P02186,S01972,Research,708
P02187,S05029,Writing,501
P02188,S01919,Writing,710
P02189,S00882,Coding,457
P02190,S07257,Writing,605
P02191,S01051,Research,289
P02192,S00179,Writing,158
P02193,S06370,Image Generation,307
P02194,S04318,Research,571
P02195,S00856,Learning,675
P02196,S04192,Business,404
P02197,S04915,Research,174
P02198,S05957,Research,412
P02199,S01383,Coding,387
P02200,S06839,Coding,306
P02201,S03310,Learning,297
P02202,S01387,Business,114
P02203,S01166,Business,654
P02204,S03516,Writing,432
P02205,S07214,Learning,689
P02206,S05081,Coding,372
P02207,S00293,Research,522
P02208,S03887,Coding,579
P02209,S04938,Writing,771
P02210,S04605,Image Generation,245
P02211,S00146,Image Generation,108
P02212,S05451,Image Generation,457
P02213,S00319,Coding,712
P02214,S07090,Research,306
P02215,S05376,Learning,389
P02216,S05518,Learning,148
P02217,S01389,Learning,324
P02218,S07108,Learning,101
P02219,S01570,Coding,153
P02220,S04671,Learning,104
P02221,S07491,Business,570
P02222,S05506,Writing,241
P02223,S04420,Business,87
P02224,S04194,Writing,169
P02225,S06130,Coding,393
P02226,S01977,Coding,313
P02227,S06776,Image Generation,738
P02228,S05162,Coding,319
P02229,S07176,Writing,77
P02230,S00529,Coding,216
P02231,S06561,Image Generation,494
P02232,S07065,Writing,168
P02233,S02500,Research,191
P02234,S00050,Writing,786
P02235,S03133,Writing,134
P02236,S05362,Coding,467
P02237,S00960,Learning,306
P02238,S00505,Writing,391
P02239,S01880,Research,66
P02240,S05496,Writing,767
P02241,S06951,Business,275
P02242,S05367,Image Generation,664
P02243,S04918,Research,197
P02244,S06927,Business,236
P02245,S03363,Image Generation,654
P02246,S06919,Research,565
P02247,S00105,Research,376
P02248,S06939,Coding,588
P02249,S00437,Image Generation,656
P02250,S01372,Learning,557
P02251,S01752,Research,452
P02252,S02920,Learning,281
P02253,S06298,Business,320
P02254,S00593,Coding,378
P02255,S05702,Learning,585
P02256,S00535,Image Generation,448
P02257,S02001,Business,795
P02258,S05767,Coding,383
P02259,S00282,Learning,464
P02260,S05476,Research,363
P02261,S04156,Coding,536
P02262,S07101,Writing,782
P02263,S05988,Coding,420
P02264,S02712,Writing,61
P02265,S01313,Research,392
P02266,S03957,Business,126
P02267,S02322,Research,80
P02268,S03247,Business,139
P02269,S03421,Research,790
P02270,S05653,Writing,375
P02271,S03723,Coding,191
P02272,S04139,Research,634
P02273,S06260,Business,93
P02274,S06713,Coding,609
P02275,S00643,Image Generation,529
P02276,S00703,Image Generation,253
P02277,S04215,Learning,86
P02278,S07359,Coding,381
P02279,S05662,Image Generation,740
P02280,S04867,Learning,622
P02281,S04464,Coding,279
P02282,S01802,Business,73
P02283,S00381,Learning,212
P02284,S06842,Writing,150
P02285,S02019,Research,466
P02286,S01289,Image Generation,404
P02287,S00234,Research,536
P02288,S00792,Image Generation,122
P02289,S02572,Business,554
P02290,S04503,Image Generation,175
P02291,S05817,Writing,590
P02292,S02239,Learning,600
P02293,S06169,Learning,285
P02294,S01681,Learning,98
P02295,S02248,Business,646
P02296,S04900,Writing,465
P02297,S03894,Learning,599
P02298,S06181,Writing,136
P02299,S07065,Research,219
P02300,S06650,Writing,236
P02301,S01042,Research,617
P02302,S07160,Learning,544
P02303,S05262,Learning,340
P02304,S00725,Writing,631
P02305,S05783,Image Generation,233
P02306,S01171,Image Generation,173
P02307,S06086,Image Generation,477
P02308,S06057,Learning,501
P02309,S07424,Learning,332
P02310,S01574,Writing,599
P02311,S07183,Image Generation,191
P02312,S05284,Research,596
P02313,S00601,Research,514
P02314,S05416,Research,81
P02315,S03698,Writing,669
P02316,S00600,Coding,59
P02317,S05406,Image Generation,242
P02318,S05599,Learning,563
P02319,S06310,Learning,788
P02320,S06019,Business,542
P02321,S04862,Coding,415
P02322,S04667,Research,505
P02323,S03952,Writing,590
P02324,S01985,Writing,412
P02325,S02053,Research,523
P02326,S06923,Image Generation,447
P02327,S01743,Writing,468
P02328,S04128,Research,749
P02329,S04734,Learning,463
P02330,S05224,Writing,475
P02331,S01206,Learning,657
P02332,S05279,Coding,336
P02333,S04668,Coding,282
P02334,S04621,Writing,653
P02335,S04299,Research,241
P02336,S04116,Writing,555
P02337,S05279,Coding,383
P02338,S05480,Coding,422
P02339,S03543,Writing,601
P02340,S03688,Learning,496
P02341,S04155,Writing,749
P02342,S02054,Research,489
P02343,S03743,Writing,669
P02344,S00039,Business,722
P02345,S01301,Coding,373
P02346,S02901,Research,733
P02347,S01492,Writing,376
P02348,S03942,Business,677
P02349,S02753,Image Generation,777
P02350,S07153,Image Generation,614
P02351,S04964,Research,422
P02352,S06350,Writing,145
P02353,S03714,Image Generation,104
P02354,S04058,Business,664
P02355,S01654,Coding,100
P02356,S00852,Writing,601
P02357,S05391,Research,404
P02358,S03179,Writing,775
P02359,S03875,Image Generation,799
P02360,S04096,Writing,660
P02361,S03416,Image Generation,585
P02362,S04763,Image Generation,733
P02363,S01574,Writing,575
P02364,S03311,Learning,645
P02365,S03878,Business,721
P02366,S01690,Research,591
P02367,S00043,Business,472
P02368,S06490,Writing,356
P02369,S01162,Learning,736
P02370,S03946,Business,312
P02371,S01960,Coding,358
P02372,S03039,Learning,404
P02373,S04563,Research,759
P02374,S06445,Coding,204
P02375,S00754,Writing,709
P02376,S02442,Research,707
P02377,S03786,Coding,114
P02378,S01412,Image Generation,296
P02379,S00466,Business,92
P02380,S02779,Coding,761
P02381,S06541,Learning,308
P02382,S02478,Image Generation,267
P02383,S02808,Business,629
P02384,S02030,Business,376
P02385,S03658,Image Generation,196
P02386,S07041,Learning,265
P02387,S03546,Writing,745
P02388,S04964,Learning,431
P02389,S05377,Writing,511
P02390,S07192,Coding,474
P02391,S05731,Image Generation,240
P02392,S04769,Coding,209
P02393,S03091,Writing,295
P02394,S02198,Learning,293
P02395,S02118,Coding,59
P02396,S06220,Learning,470
P02397,S05490,Learning,405
P02398,S04390,Image Generation,198
P02399,S06440,Business,505
P02400,S03254,Learning,105
P02401,S00685,Image Generation,416
P02402,S03464,Image Generation,667
P02403,S02590,Learning,245
P02404,S02410,Writing,205
P02405,S06776,Business,223
P02406,S01287,Business,533
P02407,S06761,Research,177
P02408,S00624,Image Generation,624
P02409,S06113,Image Generation,299
P02410,S05149,Business,356
P02411,S04894,Coding,358
P02412,S01666,Image Generation,73
P02413,S03134,Research,536
P02414,S03281,Research,358
P02415,S07364,Coding,590
P02416,S01876,Image Generation,128
P02417,S02675,Research,372
P02418,S03715,Coding,315
P02419,S02975,Learning,625
P02420,S01022,Image Generation,122
P02421,S05498,Research,503
P02422,S05475,Coding,218
P02423,S04246,Coding,513
P02424,S02099,Image Generation,500
P02425,S06613,Research,517
P02426,S06283,Learning,240
P02427,S00229,Writing,157
P02428,S02652,Business,559
P02429,S05777,Business,152
P02430,S07030,Coding,112
P02431,S03944,Learning,565
P02432,S01914,Research,240
P02433,S06501,Research,757
P02434,S06420,Coding,737
P02435,S03638,Coding,186
P02436,S04609,Coding,648
P02437,S01159,Learning,174
P02438,S01415,Research,735
P02439,S07339,Image Generation,308
P02440,S04098,Writing,722
P02441,S01911,Business,533
P02442,S07379,Coding,134
P02443,S06438,Business,799
P02444,S05507,Business,396
P02445,S04536,Writing,651
P02446,S05113,Learning,77
P02447,S06340,Business,229
P02448,S03778,Learning,403
P02449,S03810,Coding,674
P02450,S07324,Research,124
P02451,S03164,Coding,696
P02452,S07257,Writing,786
P02453,S02157,Coding,194
P02454,S04692,Learning,774
P02455,S03519,Image Generation,379
P02456,S04877,Image Generation,729
P02457,S03352,Research,190
P02458,S00221,Business,78
P02459,S07462,Image Generation,67
P02460,S03010,Coding,167
P02461,S06148,Image Generation,119
P02462,S03495,Business,187
P02463,S06724,Coding,451
P02464,S06780,Writing,352
P02465,S04411,Image Generation,489
P02466,S03731,Image Generation,688
P02467,S03197,Writing,695
P02468,S04288,Writing,224
P02469,S07297,Learning,330
P02470,S00885,Learning,562
P02471,S05922,Learning,247
P02472,S04394,Learning,558
P02473,S05932,Research,245
P02474,S02051,Business,244
P02475,S06115,Learning,519
P02476,S02791,Image Generation,594
P02477,S06360,Image Generation,85
P02478,S06963,Image Generation,515
P02479,S04280,Image Generation,349
P02480,S07079,Learning,130
P02481,S02314,Learning,575
P02482,S05412,Business,204
P02483,S06245,Writing,727
P02484,S05500,Image Generation,84
P02485,S03644,Learning,728
P02486,S03968,Writing,238
P02487,S00945,Writing,759
P02488,S02196,Writing,516
P02489,S02439,Business,431
P02490,S06173,Business,343
P02491,S03933,Coding,755
P02492,S00419,Research,486
P02493,S02542,Image Generation,620
P02494,S04840,Research,80
P02495,S01204,Writing,665
P02496,S05079,Coding,202
P02497,S00553,Business,448
P02498,S06439,Writing,671
P02499,S05566,Writing,283
P02500,S05510,Learning,451
P02501,S04853,Learning,408
P02502,S02479,Research,102
P02503,S02692,Coding,460
P02504,S04503,Business,407
P02505,S06796,Writing,178
P02506,S06582,Writing,139
P02507,S01035,Image Generation,679
P02508,S00897,Coding,219
P02509,S04634,Learning,478
P02510,S00516,Coding,147
P02511,S04765,Research,375
P02512,S07129,Learning,560
P02513,S01502,Business,459
P02514,S06165,Image Generation,329
P02515,S04223,Research,669
P02516,S06250,Business,370
P02517,S02084,Learning,766
P02518,S05291,Writing,636
P02519,S04987,Business,239
P02520,S02945,Research,636
P02521,S01919,Learning,471
P02522,S06351,Learning,698
P02523,S06445,Coding,145
P02524,S06626,Coding,135
P02525,S04778,Learning,352
P02526,S02380,Business,269
P02527,S06544,Business,452
P02528,S06764,Research,552
P02529,S07360,Coding,610
P02530,S06495,Image Generation,418
P02531,S02461,Image Generation,636
P02532,S02790,Learning,565
P02533,S01365,Coding,674
P02534,S04361,Learning,671
P02535,S00355,Business,485
P02536,S02034,Learning,274
P02537,S03603,Image Generation,770
P02538,S02347,Image Generation,566
P02539,S03878,Learning,441
P02540,S01425,Image Generation,175
P02541,S07297,Business,486
P02542,S00942,Image Generation,670
P02543,S01841,Coding,306
P02544,S04655,Research,693
P02545,S05569,Business,326
P02546,S03371,Business,564
P02547,S05138,Research,205
P02548,S01745,Coding,687
P02549,S06356,Coding,289
P02550,S00678,Image Generation,68
P02551,S01742,Business,435
P02552,S06663,Coding,593
P02553,S03475,Coding,578
P02554,S07248,Image Generation,290
P02555,S07408,Business,517
P02556,S06839,Learning,621
P02557,S05647,Learning,791
P02558,S00630,Writing,742
P02559,S02853,Learning,386
P02560,S03773,Learning,528
P02561,S01979,Coding,570
P02562,S01353,Learning,109
P02563,S06807,Image Generation,753
P02564,S03716,Image Generation,146
P02565,S03772,Image Generation,57
P02566,S02594,Coding,87
P02567,S04766,Research,373
P02568,S07368,Research,730
P02569,S03049,Business,430
P02570,S06608,Coding,248
P02571,S07319,Business,254
P02572,S00011,Image Generation,764
P02573,S02228,Coding,672
P02574,S03301,Business,56
P02575,S03292,Learning,300
P02576,S06009,Coding,128
P02577,S02072,Learning,524
P02578,S02510,Image Generation,560
P02579,S06770,Coding,436
P02580,S02960,Business,233
P02581,S00496,Coding,93
P02582,S04693,Business,481
P02583,S02463,Learning,158
P02584,S06281,Learning,589
P02585,S04110,Image Generation,789
P02586,S02967,Business,595
P02587,S06832,Image Generation,662
P02588,S03370,Research,148
P02589,S04380,Writing,190
P02590,S00602,Writing,210
P02591,S07177,Research,307
P02592,S04124,Learning,436
P02593,S07165,Writing,502
P02594,S06923,Research,414
P02595,S05083,Image Generation,679
P02596,S03578,Coding,715
P02597,S05323,Business,591
P02598,S00211,Business,257
P02599,S05332,Learning,400
P02600,S06286,Writing,639
P02601,S01348,Research,739
P02602,S05760,Image Generation,771
P02603,S00609,Business,447
P02604,S05682,Image Generation,734
P02605,S00981,Writing,431
P02606,S03778,Business,771
P02607,S04881,Business,447
P02608,S02711,Learning,202
P02609,S00549,Business,433
P02610,S02159,Writing,800
P02611,S00187,Research,779
P02612,S03923,Writing,602
P02613,S03479,Image Generation,574
P02614,S05260,Image Generation,493
P02615,S00434,Research,269
P02616,S01077,Business,440
P02617,S02612,Business,577
P02618,S03995,Business,242
P02619,S00867,Coding,250
P02620,S06149,Business,347
P02621,S05647,Business,277
P02622,S05293,Image Generation,390
P02623,S05144,Learning,74
P02624,S04139,Research,156
P02625,S01639,Business,168
P02626,S06661,Business,462
P02627,S06983,Writing,178
P02628,S01323,Image Generation,797
P02629,S03025,Writing,174
P02630,S05706,Business,400
P02631,S04478,Coding,282
P02632,S02020,Research,323
P02633,S03541,Learning,779
P02634,S05489,Writing,503
P02635,S03084,Writing,403
P02636,S05726,Research,119
P02637,S04940,Writing,582
P02638,S05180,Learning,110
P02639,S03209,Writing,465
P02640,S01330,Coding,593
P02641,S05857,Learning,167
P02642,S02289,Image Generation,301
P02643,S03484,Coding,301
P02644,S00596,Business,717
P02645,S03433,Image Generation,717
P02646,S01296,Business,434
P02647,S02398,Learning,107
P02648,S03295,Business,145
P02649,S04287,Learning,318
P02650,S01333,Coding,635
P02651,S03396,Writing,147
P02652,S01473,Research,733
P02653,S02782,Coding,533
P02654,S04782,Writing,642
P02655,S05865,Writing,210
P02656,S03430,Image Generation,762
P02657,S00304,Writing,57
P02658,S00506,Business,545
P02659,S00233,Research,167
P02660,S02004,Research,316
P02661,S03738,Writing,450
P02662,S06266,Image Generation,371
P02663,S01547,Image Generation,527
P02664,S05176,Image Generation,357
P02665,S03792,Research,637
P02666,S01587,Image Generation,408
P02667,S07253,Research,371
P02668,S04049,Coding,785
P02669,S01490,Research,511
P02670,S02391,Image Generation,98
P02671,S04420,Learning,139
P02672,S01414,Research,333
P02673,S00371,Learning,455
P02674,S03285,Image Generation,437
P02675,S00991,Research,76
P02676,S05468,Writing,679
P02677,S01155,Image Generation,702
P02678,S05702,Writing,576
P02679,S04634,Learning,105
P02680,S01220,Research,388
P02681,S04353,Image Generation,603
P02682,S03865,Image Generation,108
P02683,S07445,Research,414
P02684,S01151,Writing,543
P02685,S02463,Writing,480
P02686,S05434,Business,117
P02687,S00799,Image Generation,417
P02688,S06051,Image Generation,548
P02689,S05922,Coding,668
P02690,S07417,Image Generation,512
P02691,S06353,Learning,509
P02692,S05536,Business,53
P02693,S07335,Business,395
P02694,S04741,Image Generation,307
P02695,S06114,Business,197
P02696,S06687,Learning,655
P02697,S05272,Image Generation,457
P02698,S03533,Coding,473
P02699,S01776,Research,650
P02700,S05033,Writing,99
P02701,S00321,Writing,379
P02702,S01846,Research,343
P02703,S01722,Business,557
P02704,S01947,Coding,395
P02705,S04891,Business,563
P02706,S03382,Image Generation,256
P02707,S02245,Research,554
P02708,S03594,Business,279
P02709,S00870,Business,543
P02710,S05268,Coding,507
P02711,S04003,Coding,77
P02712,S07165,Learning,330
P02713,S04136,Learning,162
P02714,S05617,Coding,594
P02715,S05876,Research,406
P02716,S07424,Writing,535
P02717,S03122,Learning,225
P02718,S03357,Research,533
P02719,S05415,Coding,679
P02720,S07326,Coding,501
P02721,S06009,Coding,646
P02722,S00376,Writing,523
P02723,S04415,Image Generation,278
P02724,S04095,Coding,59
P02725,S05058,Business,226
P02726,S01319,Research,367
P02727,S06088,Business,257
P02728,S02287,Business,541
P02729,S04457,Image Generation,104
P02730,S07336,Image Generation,674
P02731,S00900,Coding,371
P02732,S01091,Learning,497
P02733,S01727,Image Generation,189
P02734,S06175,Business,556
P02735,S07351,Coding,311
P02736,S00935,Image Generation,567
P02737,S01103,Learning,354
P02738,S01827,Learning,670
P02739,S00614,Research,234
P02740,S04664,Learning,586
P02741,S00624,Writing,690
P02742,S02191,Business,358
P02743,S05534,Business,600
P02744,S03644,Writing,727
P02745,S05552,Image Generation,225
P02746,S05501,Learning,736
P02747,S05534,Learning,252
P02748,S03732,Writing,572
P02749,S06740,Coding,436
P02750,S03064,Research,698
P02751,S03601,Learning,89
P02752,S07109,Image Generation,763
P02753,S02116,Research,129
P02754,S06361,Research,388
P02755,S03558,Writing,654
P02756,S07214,Business,725
P02757,S02040,Business,774
P02758,S04638,Learning,776
P02759,S03227,Research,54
P02760,S05118,Coding,721
P02761,S00365,Research,503
P02762,S07269,Learning,160
P02763,S04265,Business,611
P02764,S00415,Image Generation,281
P02765,S01932,Writing,654
P02766,S05216,Writing,490
P02767,S05382,Coding,246
P02768,S01003,Coding,222
P02769,S04183,Research,178
P02770,S04434,Image Generation,629
P02771,S00951,Writing,784
P02772,S06514,Coding,385
P02773,S04162,Writing,90
P02774,S00865,Image Generation,394
P02775,S01728,Writing,531
P02776,S03818,Business,272
P02777,S06945,Research,477
P02778,S07265,Writing,395
P02779,S00291,Business,665
P02780,S02382,Coding,625
P02781,S03373,Coding,671
P02782,S01680,Writing,769
P02783,S02108,Writing,227
P02784,S03191,Writing,792
P02785,S01897,Writing,410
P02786,S04217,Business,416
P02787,S02103,Writing,104
P02788,S01466,Business,679
P02789,S04624,Business,97
P02790,S00029,Writing,429
P02791,S00889,Writing,748
P02792,S01486,Learning,309
P02793,S04983,Research,619
P02794,S05268,Learning,353
P02795,S04216,Coding,63
P02796,S02688,Learning,490
P02797,S05122,Coding,474
P02798,S00015,Image Generation,401
P02799,S04458,Research,92
P02800,S01364,Image Generation,567
P02801,S03781,Coding,120
P02802,S00598,Learning,211
P02803,S02322,Writing,365
P02804,S03218,Writing,507
P02805,S04928,Image Generation,349
P02806,S06603,Research,527
P02807,S01307,Image Generation,760
P02808,S00631,Image Generation,178
P02809,S03140,Writing,393
P02810,S05346,Research,550
P02811,S02184,Business,419
P02812,S00017,Writing,688
P02813,S06218,Image Generation,570
P02814,S00005,Research,799
P02815,S04578,Writing,767
P02816,S05602,Research,57
P02817,S01342,Research,757
P02818,S02791,Image Generation,92
P02819,S07418,Research,62
P02820,S07280,Image Generation,582
P02821,S03356,Business,640
P02822,S05916,Business,716
P02823,S04568,Coding,220
P02824,S06745,Research,218
P02825,S06355,Writing,644
P02826,S05586,Writing,165
P02827,S04608,Research,588
P02828,S00967,Research,711
P02829,S01724,Coding,776
P02830,S03084,Writing,323
P02831,S00526,Learning,79
P02832,S05191,Coding,513
P02833,S03693,Image Generation,541
P02834,S07343,Research,118
P02835,S06295,Learning,782
P02836,S01910,Business,738
P02837,S06187,Research,467
P02838,S00910,Writing,498
P02839,S06618,Learning,575
P02840,S02112,Research,324
P02841,S02038,Image Generation,326
P02842,S04049,Coding,469
P02843,S03538,Learning,195
P02844,S03781,Writing,397
P02845,S06082,Learning,153
P02846,S04912,Writing,662
P02847,S03493,Writing,685
P02848,S04757,Coding,677
P02849,S04466,Image Generation,686
P02850,S00347,Writing,591
P02851,S06558,Image Generation,660
P02852,S07323,Business,103
P02853,S01409,Coding,595
P02854,S01774,Image Generation,382
P02855,S06203,Coding,521
P02856,S02569,Image Generation,438
P02857,S00876,Research,97
P02858,S05050,Business,602
P02859,S01679,Business,111
P02860,S04222,Coding,618
P02861,S00385,Image Generation,755
P02862,S03902,Research,575
P02863,S01377,Coding,141
P02864,S07311,Learning,798
P02865,S00169,Business,166
P02866,S02005,Image Generation,656
P02867,S04442,Coding,758
P02868,S07340,Coding,728
P02869,S00465,Business,269
P02870,S01102,Writing,97
P02871,S04871,Business,679
P02872,S04982,Business,722
P02873,S02428,Business,632
P02874,S03138,Writing,607
P02875,S04812,Research,483
P02876,S02225,Learning,582
P02877,S02464,Research,574
P02878,S00450,Learning,136
P02879,S03272,Coding,384
P02880,S02359,Image Generation,496
P02881,S07277,Coding,433
P02882,S02542,Writing,95
P02883,S06079,Writing,334
P02884,S06149,Business,337
P02885,S02850,Coding,62
P02886,S03980,Research,329
P02887,S07303,Coding,751
P02888,S03229,Business,513
P02889,S01770,Writing,279
P02890,S07210,Image Generation,265
P02891,S00940,Coding,389
P02892,S02535,Image Generation,79
P02893,S02127,Business,391
P02894,S05413,Coding,539
P02895,S04376,Writing,178
P02896,S06671,Research,56
P02897,S01719,Writing,562
P02898,S01627,Writing,385
P02899,S06517,Research,59
P02900,S02529,Business,302
P02901,S03486,Image Generation,666
P02902,S01854,Business,452
P02903,S06462,Learning,215
P02904,S04465,Business,306
P02905,S04331,Writing,269
P02906,S01509,Coding,326
P02907,S06495,Research,51
P02908,S01091,Image Generation,114
P02909,S06085,Learning,532
P02910,S02652,Business,218
P02911,S01409,Coding,626
P02912,S00586,Business,758
P02913,S05140,Business,122
P02914,S06747,Business,519
P02915,S03922,Coding,746
P02916,S05481,Image Generation,337
P02917,S05198,Writing,506
P02918,S04857,Business,585
P02919,S00187,Writing,773
P02920,S01707,Image Generation,321
P02921,S04804,Business,664
P02922,S02148,Image Generation,375
P02923,S03559,Coding,515
P02924,S01814,Business,609
P02925,S06945,Research,761
P02926,S01925,Research,676
P02927,S06215,Coding,82
P02928,S05558,Image Generation,210
P02929,S03141,Learning,256
P02930,S02752,Learning,282
P02931,S03283,Business,66
P02932,S06577,Business,272
P02933,S02359,Business,577
P02934,S04859,Image Generation,68
P02935,S04799,Coding,766
P02936,S00955,Coding,778
P02937,S00362,Coding,176
P02938,S01826,Image Generation,219
P02939,S04263,Business,775
P02940,S04066,Learning,621
P02941,S04932,Learning,643
P02942,S05289,Image Generation,436
P02943,S07354,Image Generation,379
P02944,S02450,Business,789
P02945,S02248,Image Generation,592
P02946,S00252,Writing,658
P02947,S00943,Coding,148
P02948,S06186,Learning,313
P02949,S07306,Image Generation,355
P02950,S01579,Writing,178
P02951,S03253,Writing,415
P02952,S05207,Image Generation,52
P02953,S01522,Research,178
P02954,S04134,Writing,182
P02955,S05034,Learning,269
P02956,S01125,Image Generation,434
P02957,S00172,Learning,398
P02958,S03673,Writing,601
P02959,S05794,Writing,56
P02960,S02697,Research,217
P02961,S01565,Business,231
P02962,S01858,Coding,427
P02963,S05920,Business,182
P02964,S01175,Learning,651
P02965,S05299,Coding,657
P02966,S05932,Research,178
P02967,S02229,Research,549
P02968,S01008,Writing,436
P02969,S07113,Research,186
P02970,S07454,Image Generation,795
P02971,S07470,Image Generation,563
P02972,S04254,Writing,316
P02973,S00172,Image Generation,543
P02974,S01955,Image Generation,83
